Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score,Fraud_Risk_Score,Fraud_Flag,Claim_Status,Settlement_Amount,Claim_Date,Handled_By_Staff_ID,Identity_Changed_Flag,KYC_Update_Date,Days_KYC_To_Claim,Enriched_Address_Change_Flag,Enriched_Past_Claims_Count,Enriched_Witness_Present,Enriched_Police_Report_Filed,Enriched_Safety_Rating,Enriched_Days_Open,Enriched_Form_Defects_Count,Enriched_Claim_Channel
CLM000001,CUST018311,POL0285346,79,Male,West,Home,3264.23,56380.37,8140.64,Accident,529,91.93,Yes,Under Review,4330.86,2026-07-03 20:35:26.261770,AGENT00933,0,,,0,1,0,1,56,8.409042055,3,Phone
CLM000002,CUST003854,POL0518267,78,Female,West,Home,4937.85,98556.51,32997.15,Accident,331,82.9,Yes,Under Review,30106.34,2025-01-09 20:35:26.261821,AGENT00035,1,2024-12-19 20:35:26.261821,21.0,1,1,0,1,90,3.589879981,2,Online
CLM000003,CUST018067,POL0278802,57,Male,West,Health,3952.9,33481.54,14873.17,Property,642,30.69,No,Approved,10424.77,2024-10-12 20:35:26.261829,AGENT00034,0,,,1,0,0,0,46,10.16440437,3,Broker
CLM000004,CUST007487,POL0372362,66,Male,North,Health,579.12,24701.69,616.78,Property,411,68.15,No,Approved,431.01,2025-06-25 20:35:26.261834,AGENT00404,0,,,1,1,1,0,78,8.724293943,5,Phone
CLM000005,CUST011899,POL0882135,21,Female,East,Home,676.23,28416.22,42049.7,Theft,714,45.04,No,Approved,27957.75,2025-05-25 20:35:26.261838,AGENT00569,0,,,1,0,0,1,55,10.52228376,11,Broker
CLM000006,CUST004514,POL0823407,75,Female,East,Life,4680.15,38669.97,1783.29,Medical,342,47.91,No,Approved,1668.27,2025-05-03 20:35:26.261843,AGENT00949,0,,,0,0,0,1,64,10.68227047,3,Broker
CLM000007,CUST015293,POL0112837,46,Female,West,Health,1886.92,72717.24,9550.18,Medical,528,40.18,No,Approved,8157.69,2025-02-06 20:35:26.261846,AGENT00825,0,,,0,0,1,0,75,10.99057112,6,Broker
CLM000008,CUST017816,POL0536725,22,Male,West,Home,2617.05,30198.31,15197.73,Theft,657,12.66,No,Approved,12573.75,2024-12-30 20:35:26.261849,AGENT00527,0,,,1,0,1,1,91,10.16403254,2,Broker
CLM000009,CUST005436,POL0133206,35,Female,East,Auto,2771.01,32348.61,5396.93,Accident,477,85.94,Yes,Under Review,5273.58,2026-08-10 20:35:26.261852,AGENT00346,1,2026-08-09 20:35:26.261852,1.0,1,0,1,1,59,4.159721288,3,Online
CLM000010,CUST010889,POL0397242,44,Female,West,Home,2611.63,80052.09,20605.04,Theft,442,61.42,No,Approved,10834.03,2026-03-29 20:35:26.261855,AGENT01198,0,,,0,0,0,1,79,7.556842596,6,Phone
CLM000011,CUST015611,POL0872204,47,Female,North,Health,2703.14,38434.95,34641.34,Theft,706,46.01,No,Approved,17665.01,2024-12-15 20:35:26.261858,AGENT00509,0,,,1,0,0,1,61,10.87896961,5,Broker
CLM000012,CUST019200,POL0643080,42,Male,North,Life,256.04,55434.88,3063.15,Accident,818,9.51,No,Approved,2277.61,2026-05-14 20:35:26.261861,AGENT00532,0,,,1,0,0,0,79,10.47314701,4,Broker
CLM000013,CUST011941,POL0059442,37,Female,South,Home,2690.2,13459.28,15180.78,Medical,369,28.37,No,Approved,9561.74,2025-11-23 20:35:26.261864,AGENT00213,0,,,0,1,0,0,91,9.118606271,2,Broker
CLM000014,CUST019052,POL0660176,75,Female,North,Health,3037.25,36450.42,19253.58,Property,514,96.96,Yes,Under Review,11133.44,2024-10-19 20:35:26.261867,AGENT00988,0,,,0,0,0,1,81,4.002191103,6,Online
CLM000015,CUST016204,POL0853333,77,Female,North,Auto,2435.12,46392.59,28612.15,Property,761,83.87,Yes,Under Review,27632.51,2024-10-17 20:35:26.261870,AGENT00840,1,2024-10-06 20:35:26.261870,11.0,1,0,0,1,89,10.15033538,3,Broker
CLM000016,CUST007355,POL0224665,23,Male,West,Auto,4908.99,98129.28,45666.57,Property,847,1.34,No,Approved,30306.92,2024-12-21 20:35:26.261873,AGENT00272,0,,,0,2,0,1,60,7.766829663,2,Phone
CLM000017,CUST000106,POL0680123,69,Female,East,Life,554.77,68410.98,40280.62,Property,712,1.42,No,Approved,25614.55,2025-04-28 20:35:26.261875,AGENT00113,0,,,1,1,0,1,87,10.17170924,0,Phone
CLM000018,CUST000176,POL0253222,18,Male,South,Health,1155.81,36859.27,2089.54,Property,487,67.27,No,Approved,1530.94,2025-05-13 20:35:26.261878,AGENT00820,0,,,1,0,0,1,84,8.51944942,3,Broker
CLM000019,CUST010000,POL0444219,55,Male,West,Health,427.58,48169.9,27245.76,Accident,340,55.2,No,Approved,13726.74,2026-02-16 20:35:26.261881,AGENT00797,0,,,1,0,0,0,95,9.005134964,6,Phone
CLM000020,CUST005592,POL0078976,43,Female,East,Home,3275.13,21550.73,46156.99,Property,735,21.52,No,Approved,35949.91,2026-05-26 20:35:26.261883,AGENT00346,0,,,1,1,0,1,53,9.787104259,5,Broker
CLM000021,CUST014423,POL0583144,66,Male,North,Home,1362.16,95756.1,49643.1,Accident,827,58.19,No,Approved,25853.97,2024-10-14 20:35:26.261886,AGENT01150,0,,,0,0,0,0,46,12.08014796,2,Broker
CLM000022,CUST011323,POL0032946,68,Male,South,Life,768.44,71832.45,1116.24,Theft,390,74.61,No,Approved,656.12,2026-04-14 20:35:26.261888,AGENT00197,0,,,0,0,1,1,65,12.79870267,1,Broker
CLM000023,CUST018299,POL0033450,46,Male,East,Health,1213.36,16779.42,39940.2,Property,839,81.85,Yes,Under Review,31986.77,2025-04-08 20:35:26.261891,AGENT00514,0,,,1,0,1,0,46,8.486983071,3,Broker
CLM000024,CUST015565,POL0703651,21,Male,West,Auto,686.22,62399.63,24869.57,Property,656,21.9,No,Approved,24641.37,2026-07-14 20:35:26.261893,AGENT01144,0,,,0,0,0,0,30,9.583842332,3,Phone
CLM000025,CUST013654,POL0236329,68,Female,East,Life,2300.5,93941.37,27937.86,Theft,694,42.79,No,Approved,26779.12,2026-09-05 20:35:26.261895,AGENT00505,0,,,1,0,0,0,60,11.71677463,9,Broker
CLM000026,CUST013168,POL0174189,78,Male,West,Auto,1538.19,16270.32,31869.13,Medical,646,38.65,No,Approved,31099.5,2026-03-29 20:35:26.261898,AGENT00775,1,2026-03-13 20:35:26.261898,16.0,0,1,1,1,89,3.702405767,4,Online
CLM000027,CUST003422,POL0785051,69,Female,West,Health,589.82,75461.16,14344.84,Medical,773,73.87,No,Approved,13618.65,2025-11-20 20:35:26.261900,AGENT00483,0,,,0,1,0,0,75,7.868656831,7,Broker
CLM000028,CUST012259,POL0000534,33,Female,West,Home,498.92,68848.53,41536.83,Accident,492,85.69,Yes,Under Review,30285.37,2025-04-30 20:35:26.261903,AGENT00347,1,2025-04-14 20:35:26.261903,16.0,1,0,0,1,62,9.212229702,5,Phone
CLM000029,CUST001618,POL0712518,41,Female,West,Health,2569.74,35352.66,34284.74,Property,826,49.56,No,Approved,29203.64,2025-12-20 20:35:26.261905,AGENT01184,0,,,0,0,0,1,64,13.21835532,10,Broker
CLM000030,CUST000606,POL0799807,30,Male,South,Health,2533.97,18347.11,44204.65,Medical,482,81.92,Yes,Under Review,25818.46,2026-05-13 20:35:26.261907,AGENT00498,1,2026-04-30 20:35:26.261907,13.0,0,1,0,0,88,4.065622783,3,Online
CLM000031,CUST010322,POL0212361,58,Male,North,Life,808.1,97891.02,26068.2,Accident,520,8.65,No,Approved,18381.74,2025-06-28 20:35:26.261910,AGENT01089,0,,,1,0,0,1,83,7.938169302,10,Phone
CLM000032,CUST008345,POL0689620,65,Female,West,Health,985.82,14449.49,47756.36,Property,571,20.49,No,Approved,46457.7,2024-09-23 20:35:26.261912,AGENT00279,0,,,0,0,0,1,65,10.75696383,7,Broker
CLM000033,CUST008050,POL0265055,19,Male,South,Life,849.96,44369.45,3557.22,Theft,796,77.27,Yes,Under Review,2717.42,2025-02-27 20:35:26.261914,AGENT00264,0,,,1,1,1,1,50,7.31681352,5,Phone
CLM000034,CUST012792,POL0169608,65,Female,West,Health,3044.62,95409.92,12095.41,Theft,813,49.51,No,Approved,11961.86,2026-09-01 20:35:26.261917,AGENT00044,0,,,1,1,0,1,73,7.742380347,6,Phone
CLM000035,CUST004960,POL0224903,76,Male,East,Life,4461.29,46231.54,16656.57,Accident,649,47.37,No,Approved,9034.61,2025-11-23 20:35:26.261919,AGENT00793,0,,,0,0,0,1,90,9.549195702,3,Phone
CLM000036,CUST002534,POL0779427,59,Female,East,Life,3035.49,37853.77,30612.01,Medical,579,77.11,Yes,Under Review,29548.98,2025-08-31 20:35:26.261922,AGENT00454,0,,,1,0,1,0,76,7.764192045,2,Broker
CLM000037,CUST007114,POL0618224,69,Female,South,Auto,2713.93,88484.54,39478.13,Theft,719,70.18,No,Approved,34725.63,2025-06-28 20:35:26.261924,AGENT01056,0,,,0,0,0,0,90,8.63210834,7,Phone
CLM000038,CUST016897,POL0138595,37,Male,West,Auto,3183.83,72979.44,18365.34,Accident,558,13.87,No,Approved,16011.27,2025-02-23 20:35:26.261926,AGENT00546,0,,,0,1,0,0,87,9.484611351,6,Phone
CLM000039,CUST018557,POL0334492,52,Female,North,Auto,2721.27,14866.49,42314.11,Medical,445,22.28,No,Approved,39290.02,2025-04-25 20:35:26.261929,AGENT01168,1,2025-04-08 20:35:26.261929,17.0,1,0,0,1,88,4.740979189,5,Online
CLM000040,CUST006288,POL0494887,72,Male,North,Home,860.74,53869.59,3074.06,Theft,658,99.06,Yes,Under Review,1631.18,2025-08-27 20:35:26.261931,AGENT00241,1,2025-08-24 20:35:26.261931,3.0,0,2,0,1,52,7.836856418,4,Broker
CLM000041,CUST001282,POL0175253,62,Female,East,Life,1094.01,63206.38,4091.65,Accident,489,16.63,No,Rejected,2800.75,2024-12-30 20:35:26.261934,AGENT01061,0,,,0,0,0,0,56,11.26444166,5,Broker
CLM000042,CUST008092,POL0263829,79,Female,South,Health,3459.97,50916.48,11444.04,Theft,533,61.4,No,Approved,10990.43,2024-12-20 20:35:26.261936,AGENT00956,0,,,1,1,1,1,84,9.826264117,3,Phone
CLM000043,CUST005592,POL0204171,23,Female,North,Health,1148.44,65470.45,25968.7,Theft,829,89.14,Yes,Under Review,14658.65,2025-10-11 20:35:26.261939,AGENT00949,1,2025-10-10 20:35:26.261939,1.0,0,0,0,1,86,11.31932261,1,Broker
CLM000044,CUST013834,POL0078846,71,Male,West,Auto,1289.68,59623.5,41998.83,Theft,543,32.73,No,Approved,41433.3,2024-12-25 20:35:26.261941,AGENT01038,0,,,1,0,0,0,66,9.872151985,2,Broker
CLM000045,CUST019182,POL0821178,44,Male,East,Auto,2305.59,37756.56,29997.92,Theft,709,71.82,No,Approved,17099.68,2025-09-19 20:35:26.261943,AGENT00936,0,,,1,1,0,0,95,11.15007726,3,Phone
CLM000046,CUST018532,POL0589867,55,Female,West,Auto,3661.99,13022.59,5125.65,Theft,759,46.06,No,Rejected,4252.55,2025-09-04 20:35:26.261945,AGENT00759,0,,,1,1,0,0,67,8.661118596,3,Phone
CLM000047,CUST005709,POL0031920,35,Male,South,Health,561.73,19122.11,9755.71,Theft,782,95.28,Yes,Under Review,9475.39,2026-05-28 20:35:26.261948,AGENT00173,0,,,1,0,0,0,77,9.303787669,3,Phone
CLM000048,CUST013099,POL0343999,67,Male,West,Home,4045.72,88198.47,2632.09,Accident,304,3.58,No,Approved,2557.94,2025-06-14 20:35:26.261950,AGENT00046,0,,,0,1,1,1,78,3.906923696,3,Online
CLM000049,CUST003185,POL0431821,49,Female,West,Life,3861.98,22309.14,5256.46,Theft,353,74.19,No,Approved,2741.64,2024-10-31 20:35:26.261952,AGENT01115,0,,,0,0,0,0,73,4.24993182,2,Online
CLM000050,CUST016080,POL0405135,79,Female,North,Auto,1903.0,59427.99,17498.55,Property,344,84.82,Yes,Under Review,10537.45,2025-12-31 20:35:26.261954,AGENT00749,0,,,1,0,0,0,69,13.93768735,5,Broker
CLM000051,CUST004086,POL0848694,28,Male,East,Auto,1750.93,35925.17,4913.93,Theft,840,14.48,No,Approved,4727.78,2026-03-20 20:35:26.261957,AGENT00990,0,,,1,0,1,0,92,9.424879754,1,Broker
CLM000052,CUST007809,POL0575166,57,Female,South,Health,4033.43,77160.13,6135.62,Medical,645,53.07,No,Approved,4915.74,2025-01-22 20:35:26.261959,AGENT00556,0,,,0,0,0,1,63,7.209372912,3,Broker
CLM000053,CUST001025,POL0868581,53,Male,North,Life,4520.22,52078.44,34153.99,Property,816,92.79,Yes,Under Review,25818.07,2025-10-09 20:35:26.261961,AGENT00154,0,,,1,0,0,1,93,9.692048375,2,Phone
