employee_department,employee_campus,employee_position,employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,has_medical_history,employee_origin_country,total_printed_pages,num_printed_pages_off_hours,total_files_burned,burned_from_other,is_abroad,trip_day_number,hostility_country_level,num_entries,num_unique_campus,late_exit_flag,entry_during_weekend,is_malicious
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,4,0,0,0.0,0,1,1,0,1,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,2,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,1,0,0,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,1,0,0,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,0,0.0,0,2,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,9,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,44,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,38,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,8,0,40,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,9,0,0,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,10,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,4,0,0,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,35,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,2,0,38,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,29,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,7,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,19,0,0,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,44,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,43,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,3,0,0,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,3,0,0,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,38,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,0,0.0,0,1,1,0,1,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,5,1,4,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,32,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,4,0,0,0,0,0.0,0,2,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,28,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,6,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,44,0,0,0.0,0,2,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,5,0,37,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,8,0,39,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,29,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,30,0,0,0.0,0,2,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,11,3,0,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,3,0,0,0.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,41,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,4,0,33,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,1.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,10,0,1,2.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,3.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,4.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,5.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,6.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,7.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,8.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,9.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,10.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,11.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,0,0,1,12.0,0,0,0,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,24,0,0,0.0,0,2,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,8,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,30,0,0,0.0,0,1,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,25,8,0,0,0,0.0,0,2,1,0,0,0
Engineering Department,Campus C,Design Engineer,22,0,2,0,0,0,Georgia,0,0,30,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,1,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,51,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,0,0,0,0.0,0,2,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,7,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,11,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,18,4,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,3,0,0,0,0,0.0,0,2,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,31,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,1,0,4,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,53,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,2,0,34,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,10,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,37,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,41,0,0,0.0,0,2,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,0,0,0,0.0,0,1,1,0,1,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,17,4,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,28,0,0,0.0,0,2,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,20,0,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,7,0,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,2,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,6,1,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,14,3,0,0,0,0.0,0,2,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,17,4,33,0,0,0.0,0,2,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,4,1,29,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,29,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,1,0,45,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,12,0,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,13,0,34,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,1,0,34,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,32,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,1,0,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,3,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,30,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,3,0,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,3,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,16,0,9,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,5,0,0,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,38,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,6,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,9,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,1,0,26,0,0,0.0,0,2,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,15,0,0,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,0,0,9,0,0,0.0,0,1,1,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,1,0,30,0,0,0.0,0,0,0,0,0,0
R&D Department,Campus B,Secretary,14,1,3,0,0,0,Argentina,4,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,49,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,2,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,8,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,3,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,4,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,22,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,8,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,2,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,19,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,33,3,0,0,0,0.0,0,1,1,0,1,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,2,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,10,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,4,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,42,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,29,9,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,1,0,2,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,16,0,0,0,0,0.0,0,1,1,0,1,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,11,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,17,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,30,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,16,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,40,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,14,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,3,0,19,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,12,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,6,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,101,13,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,18,7,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,4,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,133,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,42,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,6,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,36,4,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,38,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,17,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,18,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,5,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,1.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,2.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,3.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,4.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,5.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,6.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,7.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,1,8.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,22,4,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,28,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,10,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,26,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,27,6,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,16,1,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,24,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,46,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,33,11,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,15,2,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,13,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,1,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,45,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,0,0.0,0,1,1,0,1,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,156,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,4,0,24,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,27,6,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,25,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,23,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,4,1,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,5,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,16,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,26,0,0,0,0,0.0,0,1,1,0,1,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,20,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,54,0,19,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,22,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,69,0,0,0,0,0.0,0,2,1,0,1,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,15,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,115,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,7,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,18,0,4,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,19,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,23,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,0,0,5,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,7,0,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,2,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,14,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,8,0,0,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,2,0,9,0,0,0.0,0,0,0,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,10,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,29,0,21,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,9,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,23,7,0,0,0,0.0,0,1,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,50,0,0,0,0,0.0,0,2,1,0,0,0
Marketing and Business Development,Campus B,Secretary,7,0,2,1,0,0,Israel,89,0,0,0,0,0.0,0,0,0,0,0,0
