Claim_ID,Customer_ID,Policy_Number,Age,Gender,Region,Policy_Type,Premium_Amount,Coverage_Amount,Claim_Amount,Claim_Type,Credit_Score,Fraud_Risk_Score,Fraud_Flag,Claim_Status,Settlement_Amount
CLM000001,CUST018311,POL0285346,79,Male,West,Home,3264.23,56380.37,8140.64,Accident,529,91.93,Yes,Under Review,4330.86
CLM000002,CUST003854,POL0518267,78,Female,West,Home,4937.85,98556.51,32997.15,Accident,331,82.9,Yes,Under Review,30106.34
CLM000003,CUST018067,POL0278802,57,Male,West,Health,3952.9,33481.54,14873.17,Property,642,30.69,No,Approved,10424.77
CLM000004,CUST007487,POL0372362,66,Male,North,Health,579.12,24701.69,616.78,Property,411,68.15,No,Approved,431.01
CLM000005,CUST011899,POL0882135,21,Female,East,Home,676.23,28416.22,42049.7,Theft,714,45.04,No,Approved,27957.75
CLM000006,CUST004514,POL0823407,75,Female,East,Life,4680.15,38669.97,1783.29,Medical,342,47.91,No,Approved,1668.27
CLM000007,CUST015293,POL0112837,46,Female,West,Health,1886.92,72717.24,9550.18,Medical,528,40.18,No,Approved,8157.69
CLM000008,CUST017816,POL0536725,22,Male,West,Home,2617.05,30198.31,15197.73,Theft,657,12.66,No,Approved,12573.75
CLM000009,CUST005436,POL0133206,35,Female,East,Auto,2771.01,32348.61,5396.93,Accident,477,85.94,Yes,Under Review,5273.58
CLM000010,CUST010889,POL0397242,44,Female,West,Home,2611.63,80052.09,20605.04,Theft,442,61.42,No,Approved,10834.03
CLM000011,CUST015611,POL0872204,47,Female,North,Health,2703.14,38434.95,34641.34,Theft,706,46.01,No,Approved,17665.01
CLM000012,CUST019200,POL0643080,42,Male,North,Life,256.04,55434.88,3063.15,Accident,818,9.51,No,Approved,2277.61
CLM000013,CUST011941,POL0059442,37,Female,South,Home,2690.2,13459.28,15180.78,Medical,369,28.37,No,Approved,9561.74
CLM000014,CUST019052,POL0660176,75,Female,North,Health,3037.25,36450.42,19253.58,Property,514,96.96,Yes,Under Review,11133.44
CLM000015,CUST016204,POL0853333,77,Female,North,Auto,2435.12,46392.59,28612.15,Property,761,83.87,Yes,Under Review,27632.51
CLM000016,CUST007355,POL0224665,23,Male,West,Auto,4908.99,98129.28,45666.57,Property,847,1.34,No,Approved,30306.92
CLM000017,CUST000106,POL0680123,69,Female,East,Life,554.77,68410.98,40280.62,Property,712,1.42,No,Approved,25614.55
CLM000018,CUST000176,POL0253222,18,Male,South,Health,1155.81,36859.27,2089.54,Property,487,67.27,No,Approved,1530.94
CLM000019,CUST010000,POL0444219,55,Male,West,Health,427.58,48169.9,27245.76,Accident,340,55.2,No,Approved,13726.74
CLM000020,CUST005592,POL0078976,43,Female,East,Home,3275.13,21550.73,46156.99,Property,735,21.52,No,Approved,35949.91
CLM000021,CUST014423,POL0583144,66,Male,North,Home,1362.16,95756.1,49643.1,Accident,827,58.19,No,Approved,25853.97
CLM000022,CUST011323,POL0032946,68,Male,South,Life,768.44,71832.45,1116.24,Theft,390,74.61,No,Approved,656.12
CLM000023,CUST018299,POL0033450,46,Male,East,Health,1213.36,16779.42,39940.2,Property,839,81.85,Yes,Under Review,31986.77
CLM000024,CUST015565,POL0703651,21,Male,West,Auto,686.22,62399.63,24869.57,Property,656,21.9,No,Approved,24641.37
CLM000025,CUST013654,POL0236329,68,Female,East,Life,2300.5,93941.37,27937.86,Theft,694,42.79,No,Approved,26779.12
CLM000026,CUST013168,POL0174189,78,Male,West,Auto,1538.19,16270.32,31869.13,Medical,646,38.65,No,Approved,31099.5
CLM000027,CUST003422,POL0785051,69,Female,West,Health,589.82,75461.16,14344.84,Medical,773,73.87,No,Approved,13618.65
CLM000028,CUST012259,POL0000534,33,Female,West,Home,498.92,68848.53,41536.83,Accident,492,85.69,Yes,Under Review,30285.37
CLM000029,CUST001618,POL0712518,41,Female,West,Health,2569.74,35352.66,34284.74,Property,826,49.56,No,Approved,29203.64
CLM000030,CUST000606,POL0799807,30,Male,South,Health,2533.97,18347.11,44204.65,Medical,482,81.92,Yes,Under Review,25818.46
CLM000031,CUST010322,POL0212361,58,Male,North,Life,808.1,97891.02,26068.2,Accident,520,8.65,No,Approved,18381.74
CLM000032,CUST008345,POL0689620,65,Female,West,Health,985.82,14449.49,47756.36,Property,571,20.49,No,Approved,46457.7
CLM000033,CUST008050,POL0265055,19,Male,South,Life,849.96,44369.45,3557.22,Theft,796,77.27,Yes,Under Review,2717.42
CLM000034,CUST012792,POL0169608,65,Female,West,Health,3044.62,95409.92,12095.41,Theft,813,49.51,No,Approved,11961.86
CLM000035,CUST004960,POL0224903,76,Male,East,Life,4461.29,46231.54,16656.57,Accident,649,47.37,No,Approved,9034.61
