log_id,Customer_ID,login_time,device_id,new_device_flag,ip_address,location_city,location_unusual_flag,network_type,authentication_result,failed_attempts_before_success,off_hours_login_flag
AUTH-000001,CUST000001,2026-08-30 13:14:08,DEV-D7E805DA,0,149.138.195.222,Katima Mulilo,0,Public Wi-Fi,Success,0,0
AUTH-000002,CUST000001,2026-07-05 01:14:32,DEV-D7E805DA,0,70.48.153.229,Gobabis,0,Mobile Data,Success,0,1
AUTH-000003,CUST000001,2026-07-06 14:51:55,DEV-BB81E3C2,1,219.146.131.158,Gobabis,0,Mobile Data,Success,0,0
AUTH-000004,CUST000001,2026-08-22 16:06:05,DEV-D1026706,0,210.57.203.186,Rundu,0,Mobile Data,Success,0,0
AUTH-000005,CUST000002,2026-06-29 18:05:35,DEV-575EC87A,0,66.13.238.40,Rundu,0,Mobile Data,Success,0,0
AUTH-000006,CUST000005,2026-05-23 08:54:14,DEV-AC826A6F,0,171.213.221.66,Rundu,0,Home Wi-Fi,Success,0,0
AUTH-000007,CUST000005,2026-08-21 14:44:59,DEV-AC826A6F,0,107.242.47.175,Katima Mulilo,0,Mobile Data,Success,0,0
AUTH-000008,CUST000005,2026-08-06 14:59:40,DEV-AC826A6F,0,206.26.24.69,Katima Mulilo,0,Home Wi-Fi,Success,0,0
AUTH-000009,CUST000006,2026-08-09 03:25:17,DEV-DCB74F21,0,74.61.37.32,Gobabis,0,Mobile Data,Success,0,1
AUTH-000010,CUST000006,2026-04-08 14:08:15,DEV-DCB74F21,0,210.8.107.66,Katima Mulilo,0,Mobile Data,Success,0,0
AUTH-000011,CUST000006,2026-07-10 10:32:31,DEV-DCB74F21,0,157.244.135.128,Gobabis,0,Home Wi-Fi,Success,0,0
AUTH-000012,CUST000007,2026-07-05 04:38:29,DEV-4B50AF03,0,171.58.228.251,Gobabis,0,Mobile Data,Success,0,1
AUTH-000013,CUST000008,2026-05-07 16:07:18,DEV-4F58D669,0,142.186.51.36,Swakopmund,0,VPN,Success,0,0
AUTH-000014,CUST000008,2026-08-03 11:32:58,DEV-CBEE3772,0,210.69.147.74,Walvis Bay,0,Mobile Data,Success,0,0
AUTH-000015,CUST000009,2026-08-23 06:38:20,DEV-1721A278,0,212.59.230.13,Walvis Bay,0,Public Wi-Fi,Success,0,0
AUTH-000016,CUST000010,2026-08-07 08:05:46,DEV-F7FD633D,0,211.127.33.196,Katima Mulilo,0,Mobile Data,Failed then Success,4,0
AUTH-000017,CUST000011,2026-08-21 19:13:59,DEV-75DFF6C1,0,100.227.242.174,Henties Bay,0,Home Wi-Fi,Success,0,0
AUTH-000018,CUST000011,2026-03-24 20:57:33,DEV-766E4D58,0,169.116.123.109,Swakopmund,0,Home Wi-Fi,Failed then Success,2,0
AUTH-000019,CUST000012,2026-08-11 22:14:04,DEV-1A11F512,0,218.31.179.167,Gobabis,0,Home Wi-Fi,Success,0,1
AUTH-000020,CUST000012,2026-06-24 21:15:50,DEV-1A11F512,0,148.27.150.166,Gobabis,0,Home Wi-Fi,Success,0,0
AUTH-000021,CUST000013,2026-07-05 07:43:41,DEV-78C49EA2,0,27.211.42.122,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000022,CUST000014,2026-08-06 20:08:27,DEV-8334896A,1,48.229.28.185,Ondangwa,0,Home Wi-Fi,Success,0,0
AUTH-000023,CUST000015,2026-09-02 06:05:59,DEV-F812D810,0,130.141.163.57,Swakopmund,0,Home Wi-Fi,Success,0,0
AUTH-000024,CUST000015,2026-04-17 11:24:00,DEV-A485ED03,0,143.248.75.145,Walvis Bay,0,Home Wi-Fi,Success,0,0
AUTH-000025,CUST000015,2026-05-11 21:09:12,DEV-F812D810,0,221.1.11.39,Henties Bay,0,Mobile Data,Success,0,0
AUTH-000026,CUST000015,2026-07-25 05:32:58,DEV-F812D810,0,203.5.228.214,Swakopmund,0,VPN,Success,0,1
AUTH-000027,CUST000016,2026-09-07 01:25:07,DEV-55D05AD7,0,134.235.9.233,Karasburg,0,Mobile Data,Success,0,1
AUTH-000028,CUST000016,2026-07-06 16:59:16,DEV-55D05AD7,0,167.135.242.66,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000029,CUST000017,2026-07-27 08:00:29,DEV-A0385813,0,218.9.165.3,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000030,CUST000018,2026-04-04 13:23:18,DEV-6BD2AA39,1,221.17.142.2,Katima Mulilo,0,Home Wi-Fi,Success,0,0
AUTH-000031,CUST000018,2026-04-27 15:59:42,DEV-AC946DC5,1,207.63.164.86,Rundu,0,Home Wi-Fi,Failed then Success,2,0
AUTH-000032,CUST000018,2026-08-01 16:13:43,DEV-D3C681D0,0,193.155.149.127,Rundu,0,Public Wi-Fi,Success,0,0
AUTH-000033,CUST000019,2026-05-28 07:00:21,DEV-96DAEEE6,0,213.110.28.164,Swakopmund,0,Mobile Data,Success,0,0
AUTH-000034,CUST000019,2026-07-04 23:56:44,DEV-96DAEEE6,0,218.185.220.187,Walvis Bay,0,Mobile Data,Success,0,1
AUTH-000035,CUST000020,2026-09-12 07:57:22,DEV-27976401,0,8.74.147.123,Katima Mulilo,0,Home Wi-Fi,Success,0,0
AUTH-000036,CUST000020,2026-04-13 10:59:59,DEV-27976401,0,140.113.160.123,Gobabis,0,Public Wi-Fi,Failed then Success,3,0
AUTH-000037,CUST000020,2026-05-02 13:17:10,DEV-27976401,0,202.253.31.1,Rundu,0,Public Wi-Fi,Success,0,0
AUTH-000038,CUST000020,2026-08-10 20:22:19,DEV-27976401,0,128.90.216.161,Gobabis,0,Home Wi-Fi,Success,0,0
AUTH-000039,CUST000020,2026-07-22 14:22:41,DEV-27976401,0,23.0.191.32,Gobabis,0,Home Wi-Fi,Success,0,0
AUTH-000040,CUST000020,2026-08-18 14:02:06,DEV-27976401,0,30.221.151.186,Katima Mulilo,0,Mobile Data,Success,0,0
AUTH-000041,CUST000021,2026-08-30 12:16:02,DEV-173E4EAE,0,133.40.47.50,Henties Bay,0,Public Wi-Fi,Success,0,0
AUTH-000042,CUST000022,2026-04-03 12:23:27,DEV-7F78DF0C,1,188.240.41.131,Oshakati,0,Mobile Data,Success,0,0
AUTH-000043,CUST000022,2026-08-28 15:42:26,DEV-5E40C02D,1,21.208.185.100,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000044,CUST000023,2026-05-20 15:25:35,DEV-C8D82F01,0,132.100.62.78,Oshakati,0,Home Wi-Fi,Success,0,0
AUTH-000045,CUST000023,2026-06-02 20:28:43,DEV-C8D82F01,0,208.254.50.159,Tsumeb,0,Home Wi-Fi,Success,0,0
AUTH-000046,CUST000024,2026-05-23 08:52:48,DEV-6E8B5359,0,51.77.33.113,Keetmanshoop,1,Home Wi-Fi,Failed then Success,4,0
AUTH-000047,CUST000025,2026-04-19 04:56:40,DEV-58FED8A7,0,111.54.124.40,Katima Mulilo,0,Home Wi-Fi,Success,0,1
AUTH-000048,CUST000026,2026-05-24 23:49:27,DEV-F6B8A880,1,199.43.213.118,Karasburg,0,Home Wi-Fi,Failed then Success,2,1
AUTH-000049,CUST000026,2026-04-07 10:51:29,DEV-7ECA0FA5,0,63.68.220.6,Luderitz,0,Mobile Data,Success,0,0
AUTH-000050,CUST000026,2026-06-21 20:57:10,DEV-7ECA0FA5,0,195.231.132.243,Keetmanshoop,0,Mobile Data,Failed then Success,4,0
AUTH-000051,CUST000027,2026-08-07 15:15:17,DEV-898736A3,0,205.123.47.215,Tsumeb,1,Mobile Data,Success,0,0
AUTH-000052,CUST000027,2026-05-15 04:21:34,DEV-FE0297C7,0,94.253.28.16,Swakopmund,1,Mobile Data,Success,0,1
AUTH-000053,CUST000027,2026-04-02 04:30:00,DEV-9BFBDABE,0,185.14.83.73,Luderitz,0,Home Wi-Fi,Success,0,1
AUTH-000054,CUST000027,2026-04-28 21:14:17,DEV-FE0297C7,0,25.122.217.220,Karasburg,0,Mobile Data,Success,0,0
AUTH-000055,CUST000028,2026-04-21 06:58:25,DEV-7B590481,0,40.20.246.144,Swakopmund,1,Home Wi-Fi,Success,0,0
AUTH-000056,CUST000029,2026-08-04 20:20:21,DEV-F309FFEA,0,14.5.19.99,Gobabis,1,Mobile Data,Failed then Success,1,0
AUTH-000057,CUST000029,2026-05-08 03:14:41,DEV-F309FFEA,0,132.46.150.56,Henties Bay,0,Home Wi-Fi,Failed then Success,2,1
AUTH-000058,CUST000029,2026-08-15 00:15:08,DEV-CF214492,1,90.162.152.91,Keetmanshoop,1,Public Wi-Fi,Failed then Success,3,1
AUTH-000059,CUST000030,2026-06-02 09:49:52,DEV-36682575,1,208.21.235.103,Keetmanshoop,1,VPN,Success,0,0
AUTH-000060,CUST000031,2026-07-10 08:37:44,DEV-DEF91799,0,216.128.15.171,Keetmanshoop,0,Mobile Data,Success,0,0
AUTH-000061,CUST000031,2026-05-19 07:22:34,DEV-E2786D37,0,74.158.122.154,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000062,CUST000031,2026-04-19 09:27:23,DEV-E2786D37,0,185.60.76.71,Karasburg,0,Home Wi-Fi,Success,0,0
AUTH-000063,CUST000031,2026-06-17 21:29:27,DEV-E2786D37,0,147.118.58.225,Luderitz,0,Public Wi-Fi,Success,0,0
AUTH-000064,CUST000032,2026-07-31 20:36:39,DEV-C8FE21DA,0,210.236.38.93,Keetmanshoop,0,Home Wi-Fi,Success,0,0
AUTH-000065,CUST000032,2026-06-24 14:21:17,DEV-C8FE21DA,0,12.42.124.151,Karasburg,0,Home Wi-Fi,Success,0,0
