document_type,keyword,frequency
claim_form,insurance,59
claim_form,claim,59
claim_form,form,59
claim_form,claimant,59
claim_form,policy,59
claim_form,number,59
claim_form,pol,59
claim_form,incident,59
claim_form,description,59
claim_form,vehicle,59
id_document,national,72
id_document,identity,72
id_document,document,72
id_document,full,72
id_document,name,72
id_document,number,72
id_document,birth,72
id_document,nationality,72
id_document,namibian,72
id_document,issued,72
investigation_note,investigation,48
investigation_note,note,48
investigation_note,case,48
investigation_note,relates,48
investigation_note,claimant,48
investigation_note,flagged,48
investigation_note,review,48
investigation_note,due,48
investigation_note,unusual,48
investigation_note,document,48
kyc_update,address,82
kyc_update,customer,49
kyc_update,new,48
kyc_update,kyc,41
kyc_update,update,41
kyc_update,form,41
kyc_update,previous,41
kyc_update,change,41
kyc_update,staff,41
kyc_update,member,41
