document_id,Customer_ID,Claim_ID,document_type,suspicious_term_count,document_similarity_flag
DOC-00002,CUST002229,CLM039534,investigation_note,4,HIGH
DOC-00003,CUST012588,CLM012637,investigation_note,4,HIGH
DOC-00004,CUST003244,CLM027608,investigation_note,4,MEDIUM
DOC-00007,CUST017920,CLM041882,investigation_note,4,MEDIUM
DOC-00008,CUST014397,CLM035028,investigation_note,4,HIGH
DOC-00009,CUST012252,CLM027675,investigation_note,4,HIGH
DOC-00010,CUST015009,CLM030012,investigation_note,4,HIGH
DOC-00020,CUST012086,CLM009146,investigation_note,4,MEDIUM
DOC-00023,CUST018006,CLM044047,investigation_note,4,LOW
DOC-00025,CUST011930,CLM041514,investigation_note,4,MEDIUM
DOC-00026,CUST010082,CLM005911,investigation_note,4,MEDIUM
DOC-00038,CUST003319,CLM007061,investigation_note,4,MEDIUM
DOC-00040,CUST003162,CLM045710,investigation_note,4,MEDIUM
DOC-00046,CUST002582,CLM025626,investigation_note,4,MEDIUM
DOC-00049,CUST009240,CLM007694,investigation_note,4,HIGH
DOC-00050,CUST017214,CLM048630,investigation_note,4,LOW
DOC-00059,CUST014941,CLM040286,investigation_note,4,HIGH
DOC-00060,CUST004137,CLM035643,investigation_note,4,HIGH
DOC-00070,CUST007228,CLM027218,investigation_note,4,LOW
DOC-00076,CUST011825,CLM006401,investigation_note,4,MEDIUM
DOC-00080,CUST008077,CLM047432,investigation_note,4,HIGH
DOC-00081,CUST006257,CLM028172,investigation_note,4,MEDIUM
DOC-00082,CUST009296,CLM034362,investigation_note,4,MEDIUM
DOC-00085,CUST016812,CLM047552,investigation_note,4,LOW
DOC-00095,CUST010753,CLM021972,investigation_note,4,MEDIUM
DOC-00098,CUST004451,CLM002045,investigation_note,4,LOW
DOC-00110,CUST011916,CLM048727,investigation_note,4,MEDIUM
DOC-00123,CUST007723,CLM033135,investigation_note,4,MEDIUM
DOC-00124,CUST006842,CLM048034,investigation_note,4,MEDIUM
DOC-00125,CUST014998,CLM018161,investigation_note,4,MEDIUM
DOC-00129,CUST011087,CLM044018,investigation_note,4,MEDIUM
DOC-00134,CUST014578,CLM035035,investigation_note,4,MEDIUM
DOC-00139,CUST009723,CLM019790,investigation_note,4,MEDIUM
DOC-00141,CUST007949,CLM047532,investigation_note,4,MEDIUM
DOC-00146,CUST005526,CLM011960,investigation_note,4,MEDIUM
DOC-00156,CUST011022,CLM036649,investigation_note,4,MEDIUM
DOC-00166,CUST010534,CLM035486,investigation_note,4,MEDIUM
DOC-00170,CUST004047,CLM015897,investigation_note,4,MEDIUM
DOC-00178,CUST000866,CLM016267,investigation_note,4,MEDIUM
DOC-00180,CUST019916,CLM046859,investigation_note,4,MEDIUM
DOC-00181,CUST003614,CLM038726,investigation_note,4,MEDIUM
DOC-00195,CUST017073,CLM023277,investigation_note,4,MEDIUM
DOC-00196,CUST014979,CLM012015,investigation_note,4,MEDIUM
DOC-00198,CUST007926,CLM039566,investigation_note,4,MEDIUM
DOC-00200,CUST019375,CLM011595,investigation_note,4,LOW
DOC-00203,CUST006348,CLM022733,investigation_note,4,MEDIUM
DOC-00217,CUST002501,CLM012253,investigation_note,4,MEDIUM
DOC-00220,CUST015359,CLM020277,investigation_note,4,MEDIUM
