case_number,Claim_ID,Customer_ID,Fraud_Risk_Score,Claim_Amount,n_events,Handled_By_Staff_ID,timeline_file
1,CLM032620,CUST009623,99.97,14408.89,5,AGENT00650,case_01_CLM032620.txt
2,CLM023363,CUST019161,99.82,43797.77,6,AGENT00391,case_02_CLM023363.txt
3,CLM024980,CUST007616,99.82,18014.56,9,AGENT00916,case_03_CLM024980.txt
4,CLM004201,CUST019154,99.74,36087.87,9,AGENT00305,case_04_CLM004201.txt
5,CLM047902,CUST000598,99.74,35289.6,8,AGENT00923,case_05_CLM047902.txt
6,CLM039808,CUST009416,99.73,6958.91,4,AGENT00849,case_06_CLM039808.txt
7,CLM023304,CUST007843,99.72,23496.64,5,AGENT01057,case_07_CLM023304.txt
8,CLM044720,CUST016259,99.72,27863.77,4,AGENT00063,case_08_CLM044720.txt
9,CLM028466,CUST015468,99.7,48808.06,4,AGENT00326,case_09_CLM028466.txt
10,CLM036277,CUST005542,99.69,36036.1,6,AGENT01026,case_10_CLM036277.txt
11,CLM014243,CUST010955,99.68,30894.66,8,AGENT00610,case_11_CLM014243.txt
12,CLM023551,CUST004927,99.68,14970.11,8,AGENT00716,case_12_CLM023551.txt
